id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
49907,256,10/8/2013 9:23,Clay at Battery,41,10/8/2013 9:28,Embarcadero at Vallejo,48,392,Subscriber,94111
50831,947,10/8/2013 21:14,San Jose City Hall,10,10/8/2013 21:30,San Jose City Hall,10,25,Customer,95112
51750,401,10/9/2013 16:36,2nd at Townsend,61,10/9/2013 16:42,Townsend at 7th,65,327,Subscriber,94107
52709,201,10/10/2013 9:52,Civic Center BART (7th at Market),72,10/10/2013 9:55,Market at 10th,67,286,Subscriber,94609
53617,422,10/10/2013 19:12,Embarcadero at Bryant,54,10/10/2013 19:19,Davis at Jackson,42,482,Subscriber,94121
54576,745,10/11/2013 15:47,Yerba Buena Center of the Arts (3rd @ Howard),68,10/11/2013 15:59,Townsend at 7th,65,473,Customer,93510
55520,1265,10/12/2013 14:09,Washington at Kearney,46,10/12/2013 14:31,Spear at Folsom,49,269,Customer,
56513,1128,10/13/2013 15:08,Washington at Kearney,46,10/13/2013 15:27,Embarcadero at Sansome,60,485,Customer,22314
57449,511,10/14/2013 13:05,2nd at South Park,64,10/14/2013 13:13,2nd at South Park,64,375,Subscriber,94107
58393,1060,10/15/2013 8:01,San Francisco Caltrain (Townsend at 4th),70,10/15/2013 8:18,Beale at Market,56,629,Subscriber,94402
59315,544,10/15/2013 17:02,Yerba Buena Center of the Arts (3rd @ Howard),68,10/15/2013 17:11,Grant Avenue at Columbus Avenue,73,453,Customer,94133
60239,475,10/16/2013 9:57,San Francisco City Hall,58,10/16/2013 10:05,Market at 4th,76,530,Subscriber,94549
61138,422,10/16/2013 19:09,Howard at 2nd,63,10/16/2013 19:16,Powell Street BART,39,468,Subscriber,94105
62068,280,10/17/2013 13:30,Market at Sansome,77,10/17/2013 13:35,Davis at Jackson,42,348,Subscriber,94132
62983,552,10/18/2013 7:23,San Francisco Caltrain (Townsend at 4th),70,10/18/2013 7:32,Temporary Transbay Terminal (Howard at Beale),55,365,Subscriber,94025
63938,375,10/18/2013 16:35,2nd at Townsend,61,10/18/2013 16:41,Harry Bridges Plaza (Ferry Building),50,360,Subscriber,94903
64886,1045,10/19/2013 14:48,San Antonio Caltrain Station,29,10/19/2013 15:05,California Ave Caltrain Station,36,167,Subscriber,94040
65828,373,10/20/2013 19:06,Harry Bridges Plaza (Ferry Building),50,10/20/2013 19:12,Washington at Kearney,46,495,Subscriber,94107
66779,1012,10/21/2013 16:42,Market at Sansome,77,10/21/2013 16:59,San Francisco Caltrain (Townsend at 4th),70,380,Subscriber,94158
67733,287,10/22/2013 10:16,San Francisco Caltrain (Townsend at 4th),70,10/22/2013 10:21,2nd at South Park,64,350,Subscriber,94518
68663,790,10/23/2013 6:46,Townsend at 7th,65,10/23/2013 6:59,Beale at Market,56,390,Subscriber,94107
69551,1034,10/23/2013 17:03,Embarcadero at Sansome,60,10/23/2013 17:21,Powell Street BART,39,391,Customer,
70524,372,10/24/2013 11:03,Spear at Folsom,49,10/24/2013 11:09,2nd at Folsom,62,363,Subscriber,94105
71429,388,10/25/2013 7:21,Temporary Transbay Terminal (Howard at Beale),55,10/25/2013 7:27,2nd at Townsend,61,567,Subscriber,94107
72328,217,10/25/2013 17:07,2nd at Folsom,62,10/25/2013 17:11,Market at Sansome,77,527,Subscriber,94518
73255,607,10/26/2013 16:33,Embarcadero at Bryant,54,10/26/2013 16:43,Market at Sansome,77,291,Subscriber,94107
74221,527,10/28/2013 9:43,San Jose Diridon Caltrain Station,2,10/28/2013 9:52,St James Park,13,237,Subscriber,94114
75160,1136,10/29/2013 6:45,San Francisco Caltrain (Townsend at 4th),70,10/29/2013 7:04,Market at Sansome,77,496,Subscriber,94089
76082,516,10/29/2013 17:21,2nd at South Park,64,10/29/2013 17:29,Steuart at Market,74,634,Subscriber,94110
76990,424,10/30/2013 11:19,Grant Avenue at Columbus Avenue,73,10/30/2013 11:26,Powell Street BART,39,480,Subscriber,94133
77898,238,10/31/2013 0:09,South Van Ness at Market,66,10/31/2013 0:13,Golden Gate at Polk,59,504,Subscriber,94109
78792,234,10/31/2013 16:05,Market at Sansome,77,10/31/2013 16:09,Harry Bridges Plaza (Ferry Building),50,575,Subscriber,94920
79685,518,11/1/2013 9:12,Market at 4th,76,11/1/2013 9:21,Market at 10th,67,508,Subscriber,94105
80582,485,11/1/2013 18:12,2nd at Folsom,62,11/1/2013 18:20,Steuart at Market,74,284,Subscriber,94107
81490,812,11/2/2013 22:20,Yerba Buena Center of the Arts (3rd @ Howard),68,11/2/2013 22:33,Civic Center BART (7th at Market),72,519,Customer,
82414,448,11/4/2013 9:10,Clay at Battery,41,11/4/2013 9:17,Market at 4th,76,536,Subscriber,94105
83357,225,11/4/2013 19:04,Market at Sansome,77,11/4/2013 19:08,Steuart at Market,74,334,Subscriber,94510
84272,527,11/5/2013 13:33,Washington at Kearney,46,11/5/2013 13:42,Howard at 2nd,63,608,Subscriber,94549
85196,570,11/6/2013 8:04,San Francisco Caltrain (Townsend at 4th),70,11/6/2013 8:13,Steuart at Market,74,347,Subscriber,95051
86107,729,11/6/2013 17:35,2nd at Folsom,62,11/6/2013 17:47,Townsend at 7th,65,266,Subscriber,94107
87087,688,11/7/2013 11:28,Harry Bridges Plaza (Ferry Building),50,11/7/2013 11:40,2nd at South Park,64,463,Customer,94133
87982,343,11/7/2013 21:01,2nd at Folsom,62,11/7/2013 21:07,San Francisco Caltrain (Townsend at 4th),70,330,Subscriber,94158
88985,259,11/8/2013 14:26,Grant Avenue at Columbus Avenue,73,11/8/2013 14:30,Clay at Battery,41,354,Subscriber,94133
89950,771,11/9/2013 11:54,San Francisco Caltrain (Townsend at 4th),70,11/9/2013 12:07,Powell Street BART,39,412,Customer,95030
90895,668,11/10/2013 13:12,San Jose Diridon Caltrain Station,2,11/10/2013 13:23,San Salvador at 1st,8,250,Subscriber,95112
91820,460,11/11/2013 13:21,Grant Avenue at Columbus Avenue,73,11/11/2013 13:29,Beale at Market,56,369,Subscriber,94704
92692,392,11/12/2013 8:23,San Francisco Caltrain (Townsend at 4th),70,11/12/2013 8:30,Townsend at 7th,65,287,Subscriber,94086
93625,310,11/12/2013 17:38,Spear at Folsom,49,11/12/2013 17:43,Harry Bridges Plaza (Ferry Building),50,635,Subscriber,94103
